METADATA
##########
utc,ma_app_sza,ma_azimuth,ma_gnd_p,ma_gnd_t,ma_xair,ma_xch4,ma_xch4_s5p,ma_xco,ma_xco2,ma_xh2o,mb_app_sza,mb_azimuth,mb_gnd_p,mb_gnd_t,mb_xair,mb_xch4,mb_xch4_s5p,mb_xco,mb_xco2,mb_xh2o,mc_app_sza,mc_azimuth,mc_gnd_p,mc_gnd_t,mc_xair,mc_xch4,mc_xch4_s5p,mc_xco,mc_xco2,mc_xh2o,md_app_sza,md_azimuth,md_gnd_p,md_gnd_t,md_xair,md_xch4,md_xch4_s5p,md_xco,md_xco2,md_xh2o,me_app_sza,me_azimuth,me_gnd_p,me_gnd_t,me_xair,me_xch4,me_xch4_s5p,me_xco,me_xco2,me_xh2o
2021-01-01 09:21:00,75.64750000000001,-27.3825,944.31,274.69,0.99621825,1.88275,0.0,0.0,414.5325,1315.0975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.72999999999999,-27.335,951.27,274.99,0.9961935,1.88519,0.0,0.0,415.81,1430.1,75.55,-27.385,940.125,274.48,1.0001039999999999,1.8793575,0.0,0.0,415.56275,1236.4524999999999
2021-01-01 09:22:00,75.57,-27.16,944.31,274.69,0.9963825000000001,1.8832725,0.0,0.0,414.4235,1318.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.4675,-27.1325,940.13,274.48,1.00012875,1.8796425,0.0,0.0,415.6605,1240.45
2021-01-01 09:23:00,75.4975,-26.939999999999998,944.31,274.69,0.99622325,1.8841825,0.0,0.0,414.416,1317.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.58,-26.9,951.29,274.99,1.0002054999999999,1.884485,0.0,0.0,415.5285,1422.1750000000002,75.39,-26.92,940.1433333333333,274.48,1.000027,1.8793333333333333,0.0,0.0,415.9916666666666,1239.7333333333333
2021-01-01 09:24:00,75.4225,-26.72,944.32,274.69,0.99617475,1.8841575,0.0,0.0,414.6245,1321.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.5275,-26.735,951.29,274.99,1.0001245,1.884825,0.0,0.0,415.49825,1421.52,75.32,-26.7025,940.175,274.48,1.0001005,1.8790725,0.0,0.0,416.19175,1239.5425
2021-01-01 09:25:00,75.35,-26.505000000000003,944.32,274.69,0.99624675,1.8841875,0.0,0.0,414.6465,1326.675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.46333333333332,-26.543333333333333,951.29,274.99,0.9996309999999999,1.88532,0.0,0.0,415.622,1421.8499999999997,75.25,-26.48,940.1933333333333,274.48,0.9998186666666666,1.8797066666666666,0.0,0.0,416.5016666666667,1245.3933333333332
2021-01-01 09:26:00,75.2775,-26.28,944.32,274.69,0.99682,1.8821824999999999,0.0,0.0,414.27925000000005,1326.9175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.19999999999999,-26.32,940.2,274.48,1.0000225,1.8791,0.0,0.0,416.3965,1250.5
2021-01-01 09:27:00,75.205,-26.060000000000002,944.3125,274.69,0.9963045,1.8835025,1.4095,0.074820475,414.53975,1330.955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.13,-26.11,940.21,274.48,0.999174,1.87883,0.0,0.0,415.972,1255.89
2021-01-01 09:28:00,75.13499999999999,-25.8375,944.3375000000001,274.69,0.9966145,1.8824625,1.87863,0.0996277,414.3965,1335.6275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-01 09:29:00,75.09,-25.7,944.34,274.69,0.996904,1.88236,1.87826,0.0996977,414.358,1340.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.1575,-25.6,951.3175,274.99,0.99832225,1.884865,0.0,0.0,415.588,1418.2975000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-01 09:30:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.9,-25.41,940.18,274.48,0.998626,1.87827,0.0,0.0,415.307,1246.09
